GEO_ID,S1903_C03_001E
id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
1400000US13001950100,57365
1400000US13001950200,35475
1400000US13001950300,38017
1400000US13001950400,44336
1400000US13001950500,41555
1400000US13003960100,32157
1400000US13003960200,39655
1400000US13003960300,39375
1400000US13005970100,44022
1400000US13005970201,46563
1400000US13005970202,30863
1400000US13007960100,27266
1400000US13007960200,41063
1400000US13009970100,63948
1400000US13009970200,53349
1400000US13009970300,71754
1400000US13009970400,40685
1400000US13009970500,19408
1400000US13009970600,25497
1400000US13009970701,20912
1400000US13009970702,41875
1400000US13009970800,42356
1400000US13011970100,48234
1400000US13011970200,48913
1400000US13011970300,48430
1400000US13011970400,42025
1400000US13013180103,94730
1400000US13013180104,56779
1400000US13013180105,82784
1400000US13013180106,51012
1400000US13013180107,54958
1400000US13013180108,56000
1400000US13013180203,30339
1400000US13013180204,56827
1400000US13013180205,45549
1400000US13013180206,68661
1400000US13013180301,64792
1400000US13013180302,60625
1400000US13013180303,67273
1400000US13013180401,72256
1400000US13013180402,62667
1400000US13013180501,73866
1400000US13013180502,62212
1400000US13013180503,68469
1400000US13015960101,63125
1400000US13015960102,73497
1400000US13015960200,49531
1400000US13015960300,65576
1400000US13015960401,47885
1400000US13015960402,61650
1400000US13015960500,62716
1400000US13015960600,53471
1400000US13015960700,44015
1400000US13015960801,53527
1400000US13015960802,40551
1400000US13015960803,53636
1400000US13015960901,58240
1400000US13015960902,66733
1400000US13015961000,70000
1400000US13017960100,42115
1400000US13017960200,53681
1400000US13017960300,38613
1400000US13017960400,24012
1400000US13017960500,26422
1400000US13019970100,40217
1400000US13019970200,38902
1400000US13019970300,42539
1400000US13019970400,30845
1400000US13019970500,45440
1400000US13019970600,41406
1400000US13021010100,18542
1400000US13021010200,32578
1400000US13021010300,23792
1400000US13021010400,23281
1400000US13021010500,12788
1400000US13021010800,31667
1400000US13021011000,25220
1400000US13021011100,14865
1400000US13021011500,13750
1400000US13021011701,33347
1400000US13021011702,34300
1400000US13021011800,63504
1400000US13021011900,35061
1400000US13021012000,64503
1400000US13021012101,58229
1400000US13021012102,51070
1400000US13021012200,36071
1400000US13021012300,21205
1400000US13021012400,22361
1400000US13021012500,18387
1400000US13021012600,29082
1400000US13021012700,12891
1400000US13021012800,19122
1400000US13021012900,23846
1400000US13021013101,31555
1400000US13021013102,32363
1400000US13021013201,34544
1400000US13021013202,26339
1400000US13021013302,34886
1400000US13021013407,46630
1400000US13021013408,89600
1400000US13021013409,55132
1400000US13021013410,91116
1400000US13021013411,71875
1400000US13021013502,41523
1400000US13021013503,54375
1400000US13021013504,69118
1400000US13021013603,66996
1400000US13021013604,55000
1400000US13021013605,70379
1400000US13021013606,77143
1400000US13021013700,22439
1400000US13021013800,19063
1400000US13021013900,34261
1400000US13023790100,52849
